sa1,urban_liveability_index,c_dwelling_density_1600m_per_sqkm,c_street_connectivity_1600m_per_sqkm,c_access_large_public_open_space,c_sa1_prop_affordablehousing,c_sa2_prop_live_work_sa3,c_access_community_culture_leisure,c_access_early_years,c_access_education,c_access_health_services,c_access_sport_rec,c_access_food,c_access_convenience,c_access_busstop2012_400m,c_access_tramstops2012_600m,c_access_trainstations2012_800m,raw_dwelling_density_1600m_per_sqkm,raw_street_connectivity_1600m_per_sqkm,raw_access_large_public_open_space,raw_sa1_prop_affordablehousing,raw_sa2_prop_live_work_sa3,raw_access_community_culture_leisure,raw_access_early_years,raw_access_education,raw_access_health_services,raw_access_sport_rec,raw_access_food,raw_access_convenience,raw_access_busstop2012_400m,raw_access_tramstops2012_600m,raw_access_trainstations2012_800m
2110525,112.3297761,124.3457217,112.5591129,88.30832711,117.0449243,87.21791242,126.2190781,110.1409004,109.0447592,119.4552151,120.8601277,114.8710278,114.0406627,108.2788113,127.222415,123.8335859,26.45875725,90.47872736,0.015569527,0.25,0.132167612,0.880026394,0.937616082,0.801860113,0.92408594,0.85904188,0.969304395,0.868016076,0.900686094,0.923210323,0.742056578
2110526,108.6467463,124.938204,113.4550692,87.94915328,86.35497363,87.21791242,123.2238466,109.8505285,111.2816175,119.6030822,115.1139807,114.0514025,115.6065592,108.4783683,121.3932419,112.6019318,27.55409166,91.99809913,0.00122957,0,0.132167612,0.80074693,0.929721203,0.861137801,0.927993389,0.728402834,0.944529923,0.914426482,0.908135791,0.751239418,0.438858857
2110527,102.7190349,119.0225595,104.0241846,88.26907297,97.02973908,87.21791242,94.50912254,107.6459377,111.6148399,106.2831441,103.1039754,108.2998377,101.8006695,102.0964857,103.1201596,119.8027685,23.15713257,76.00510923,0.014002312,0.086956522,0.132167612,0.149402582,0.869780917,0.869968334,0.576008694,0.455354541,0.770679763,0.505244303,0.669892559,0.212151207,0.633303696
2110528,102.9813038,118.2522234,103.3835376,87.92172824,86.35497363,87.21791242,93.89012574,107.9676398,107.9256745,107.6780535,104.216694,111.4868719,102.2505135,106.2227631,114.1814585,123.2019222,22.78023702,74.91869356,0.000134626,0,0.132167612,0.135640933,0.878527627,0.772203896,0.612869734,0.480652276,0.867012921,0.518576883,0.82393138,0.538479069,0.723190269
2110529,106.067809,117.7546814,105.1957693,87.91973093,109.7377932,87.21791242,93.76188587,110.3410064,106.7625902,109.4664959,100.6850107,113.9422136,109.241945,105.0334312,124.0921012,128.7113458,22.53680906,77.99189453,5.49E-05,0.19047619,0.132167612,0.132789881,0.943056733,0.741381672,0.660130041,0.400359214,0.941229513,0.725790562,0.779532209,0.830860537,0.896285202
2110530,105.5962346,118.3283656,104.6025406,88.20904975,103.0949467,87.21791242,93.20381465,111.3509542,103.8212037,116.8591784,100.9147495,114.5948614,109.0917754,104.4835491,127.9896364,118.7690884,22.81749045,76.98589116,0.011605895,0.136363636,0.132167612,0.12038274,0.970516051,0.663433688,0.855484633,0.405582341,0.960956827,0.7213398,0.759004463,0.94584471,0.603016546
2110531,104.9177727,118.9663642,101.3566301,103.5334473,103.6450867,87.21791242,92.08192769,109.6605969,98.88514362,117.5903019,103.9589472,111.8795018,106.996237,106.6118731,128.3950687,98.51047596,23.12963836,71.48144309,0.623429993,0.14084507,0.132167612,0.095440745,0.924557182,0.532626012,0.874804864,0.474792384,0.878880782,0.659231744,0.838457316,0.957805682,0.084666465
2110532,103.6780432,119.6312608,107.0906718,88.1556837,86.35497363,87.21791242,93.16311194,110.599236,105.8236836,118.4624398,98.51095818,113.9513954,109.5409035,99.08992858,126.4125878,113.0621946,23.45494647,81.20528939,0.009475264,0,0.132167612,0.11947783,0.950077698,0.71650025,0.897851457,0.350931981,0.941507048,0.734651164,0.557654223,0.89931899,0.44776557
2110533,104.3807593,121.8829528,107.8177127,91.21852237,92.39234098,87.21791242,93.44277603,110.3373811,101.1321421,120.6875848,97.94429687,113.4840055,113.0797464,107.9725045,126.3323439,100.7546499,24.57916932,82.43821275,0.131758603,0.049180328,0.132167612,0.125695373,0.942958164,0.592172421,0.956651804,0.338048898,0.92737945,0.839536215,0.889251297,0.896951655,0.140579246
2110534,105.6556371,121.1671002,109.3742089,87.99974645,100.3402676,87.21791242,94.35521442,110.9636164,107.2352292,119.8862618,94.09562003,113.5554717,108.9643293,107.6615724,122.9741894,117.918143,24.20637299,85.07773473,0.003249496,0.113924051,0.132167612,0.145980869,0.959984781,0.753906804,0.935476522,0.250548967,0.929539627,0.717562522,0.877643833,0.797880163,0.579803499
2110535,108.5242805,124.5489154,113.8887212,93.89367022,101.699949,87.21791242,111.5634312,104.7811277,110.5326649,119.5054537,114.2314215,114.4391338,116.0969201,104.951133,127.6648795,99.30578347,26.68963776,92.73349055,0.238563449,0.125,0.132167612,0.528557072,0.791890033,0.841290241,0.925413516,0.70833779,0.956249716,0.928959914,0.77645992,0.936263808,0.104481263
2110536,108.8062357,124.6367411,115.0077686,88.01619809,95.79803538,87.21791242,121.5849185,107.615696,109.4956395,119.814702,114.5462988,113.690666,114.5662027,107.9918069,121.2896873,108.3631729,26.87679964,94.63118264,0.003906324,0.076923077,0.132167612,0.758889965,0.86895868,0.81380863,0.933585525,0.715496548,0.933626088,0.883592153,0.889971878,0.748184376,0.330148946
2110537,109.8266451,124.3280622,112.3296781,88.07661271,97.18672093,87.21791242,124.4584884,108.5826655,105.3188507,120.5341851,116.5856644,114.9237778,109.5475095,106.6141005,127.9605894,125.0433175,26.19022047,90.08964957,0.006318368,0.088235294,0.132167612,0.833338865,0.895249469,0.703121966,0.952598154,0.761861665,0.970898848,0.734846955,0.838540465,0.944987773,0.781321227
2110538,112.203115,117.0586516,113.4384803,110.4437016,97.93608709,87.21791242,123.6380414,110.2664325,109.3313381,114.0616394,123.1251522,114.2091521,110.6510515,109.8496893,126.7154258,129.8567991,22.19626874,91.96996753,0.899320776,0.094339623,0.132167612,0.812496098,0.941029155,0.809454573,0.781558546,0.910537365,0.949298153,0.767553988,0.959328828,0.908253247,0.933814745
2110539,109.7031259,112.1303021,109.7764482,111.3496206,105.925377,87.21791242,112.717008,109.9714859,107.4937275,108.3419128,114.4427606,111.9134817,109.6804314,109.3810228,125.5901861,118.528788,19.78501882,85.75985632,0.935489449,0.15942029,0.132167612,0.554203602,0.933009896,0.760757118,0.63041248,0.713142598,0.879907878,0.738786523,0.941832951,0.875056688,0.59264656
2110540,109.6342825,117.0890653,108.1002514,97.69619211,114.6841589,87.21791242,118.8280406,108.4032998,108.4914067,109.7439728,120.9519812,112.0627829,108.9844473,104.1663239,117.2838062,123.5267301,22.21114895,82.91734469,0.390378521,0.230769231,0.132167612,0.692256164,0.890372721,0.787196037,0.667462478,0.861130174,0.884420744,0.718158786,0.747162067,0.630003806,0.734186829
2110541,111.851596,120.0081591,110.4338562,95.98866408,124.3400973,87.21791242,125.1662735,106.921212,108.8887343,113.5887464,124.3813503,113.6650741,111.3479018,101.4453135,123.0715863,129.8803997,23.63934813,86.87469548,0.32220574,0.428571429,0.132167612,0.852107997,0.850076459,0.797725388,0.769062157,0.939097116,0.932852534,0.7882074,0.645583529,0.800753546,0.934587994
2110542,108.4129852,112.5962946,109.0782592,101.7842256,98.6309539,87.21791242,113.1978824,105.5051498,112.4515574,109.6014714,114.9093309,113.4253084,115.6317043,106.166927,127.6566151,109.8467991,20.01301083,84.57586034,0.553592599,0.1,0.132167612,0.564894489,0.811575359,0.892141701,0.66369682,0.723750108,0.925605237,0.915171738,0.821846951,0.936019993,0.367116305
2110543,110.2549397,116.0455914,107.7902707,107.0554,105.8168936,87.21791242,117.8317622,107.0771205,114.3826066,110.9456499,119.763617,113.6206897,117.1935586,106.6795693,128.1104008,105.7386027,21.70061772,82.39167631,0.764043383,0.158536585,0.132167612,0.668820676,0.854315434,0.94331532,0.699217277,0.834112634,0.931510945,0.961462342,0.840984496,0.949407475,0.264752624
2110544,109.9752809,120.8963172,108.6998072,93.98216213,102.6394373,87.21791242,123.9711161,107.2325102,110.6276287,113.2171685,124.3104731,113.8821303,113.1594286,100.3172352,123.2096762,124.9180527,24.07470343,83.93407746,0.242096474,0.132653061,0.132167612,0.820497521,0.858540301,0.843806823,0.759243062,0.937485717,0.939413403,0.841897855,0.603471034,0.804827441,0.786739809
2110545,109.57241,120.4705538,108.1950304,112.6177823,104.4670757,87.21791242,114.4854151,105.3617972,113.053111,107.6392639,118.5599191,112.6893361,114.3862131,108.3477605,122.9219194,103.927175,23.86808035,83.07807193,0.9861206,0.147540984,0.132167612,0.593571392,0.807677768,0.908083125,0.611844702,0.806746479,0.903359306,0.87825758,0.903260046,0.796338108,0.223954874
2110546,111.343309,124.1404051,111.0063754,94.91040674,106.8149408,87.21791242,122.8309427,107.0123137,105.2167688,118.5401063,122.0984432,115.2484791,107.4075409,108.1954145,127.9091856,130.5313801,25.84124774,87.84557938,0.27915649,0.166666667,0.132167612,0.790988842,0.852553411,0.700416752,0.899903825,0.887195066,0.98071346,0.671422066,0.89757279,0.94347127,0.955916666
2110547,107.5120381,119.7029886,108.3498654,87.92018092,102.5685325,87.21791242,97.70001732,110.7494152,111.2531292,119.3334021,95.51109405,115.0603152,113.0103792,108.9622138,128.7722713,127.8545521,23.4900401,83.34064269,7.29E-05,0.132075472,0.132167612,0.220343135,0.954160898,0.860382849,0.920866983,0.282729865,0.975025906,0.837480293,0.926198316,0.968933824,0.868213281
2110548,107.2349991,117.9279883,106.9730097,87.92326419,107.7045045,87.21791242,94.37550061,111.7356228,108.033367,115.6150157,99.1571618,115.3727327,114.4568483,105.947937,129.1346219,127.3500002,22.6216014,81.00575685,0.000195951,0.173913043,0.132167612,0.146431875,0.980974747,0.775057791,0.822607135,0.365623465,0.984469223,0.880351083,0.813671796,0.979623805,0.85181169
2110549,105.7085042,121.7704187,110.1795556,88.96214262,99.99495171,87.21791242,95.13220919,109.6976418,105.4623197,121.2348314,100.3762381,113.5855868,116.4529669,107.3802074,127.7588513,99.48063256,24.5015533,86.44344983,0.041673006,0.111111111,0.132167612,0.163255158,0.925564391,0.706923954,0.971113014,0.393339249,0.930449904,0.939512512,0.867140145,0.939036144,0.108837565
2110550,108.2356014,124.446398,113.8218716,88.54342929,98.94572263,87.21791242,118.3055815,104.445674,107.8379242,119.1127248,115.5798558,113.6445305,111.8837208,99.53382726,122.2847464,115.7667,26.49752155,92.62012639,0.024955944,0.102564103,0.132167612,0.680301874,0.782769433,0.769878476,0.915035497,0.738994537,0.932231572,0.804088129,0.574225486,0.777540379,0.518752711
2110601,104.5739175,123.4498761,108.3194284,107.3681851,92.29496408,85.64757449,99.24849083,110.0502848,107.842775,106.2719794,102.9085274,101.5583977,106.1126814,109.586103,127.8605058,95.7949272,25.3368799,83.28902726,0.776531278,0.048387097,0.116163704,0.254769079,0.935152346,0.770007023,0.575713664,0.450911019,0.566909054,0.633044719,0.949488839,0.94203513,0.017009551
2110602,106.138796,124.9756912,113.2399318,90.19859696,110.9069342,85.64757449,107.1604364,102.8969879,110.4457629,109.6971276,93.75054211,113.8741675,115.2222517,109.4479559,127.805186,95.78897302,27.63831356,91.63326698,0.091038246,0.2,0.116163704,0.430668891,0.740662442,0.838987301,0.666224574,0.242703596,0.939172714,0.903036288,0.944331644,0.940403097,0.016861205
2110603,107.4992392,124.9491896,113.580272,108.9122521,111.2627597,85.64757449,103.7492533,107.9947192,105.9864173,107.6861341,98.69637789,112.7580055,114.8941561,107.981319,128.1886781,95.42204657,27.57877286,92.21041938,0.838177904,0.202898551,0.116163704,0.354830849,0.879263885,0.720812761,0.613083265,0.355147511,0.905434949,0.893312113,0.889580353,0.951716794,0.007719365
2110604,104.9703534,125.2224398,112.6831523,97.62871202,94.19070572,85.64757449,105.0785038,101.8985006,108.8781905,111.6995028,96.46329178,114.7251944,115.0639287,101.6787018,126.875188,95.96113609,28.19267969,90.68907455,0.387684389,0.063829787,0.116163704,0.384382988,0.713514722,0.797445971,0.719138141,0.304378146,0.964896351,0.898343874,0.654296191,0.912966513,0.021150585
2110605,107.0277911,124.8823518,111.6952766,97.655946,99.27705813,85.64757449,106.6042023,103.9894825,108.1361438,117.7789169,105.8528983,114.9258589,115.7716101,107.5352965,126.8714781,95.66522492,27.42860922,89.01382497,0.388771701,0.105263158,0.116163704,0.418302594,0.77036611,0.777781421,0.879789091,0.517851492,0.970961753,0.9193183,0.872929805,0.912857067,0.013778065
2110606,107.0859379,125.0009769,112.1429026,109.2916253,98.23495454,85.64757449,103.491825,105.8287125,105.4519331,113.9246269,103.8547769,114.0089462,115.5400596,108.2134275,124.9012878,95.27744814,27.69512256,89.77291368,0.853324316,0.096774194,0.116163704,0.349107657,0.820372656,0.706648703,0.777937934,0.472424065,0.943246613,0.912455553,0.898245239,0.854732971,0.004116747
